time:28, state_pair:((17, 35), (0, 29)), current_state:(0, 29), n:0, dest:29, env.nlinks[n]:2, action:0
time:28, state_pair:((1, 29), (32, 31)), next_state:(1, 29), n:0, dest:29, env.nlinks[n]:2, action:0
time:29, state_pair:((1, 29), (32, 31)), current_state:(32, 31), n:32, dest:31, env.nlinks[n]:2, action:0
time:29, state_pair:((32, 31), (35, 34)), next_state:(32, 31), n:32, dest:31, env.nlinks[n]:2, action:0
time:30, state_pair:((32, 31), (35, 34)), current_state:(35, 34), n:35, dest:34, env.nlinks[n]:2, action:0
time:30, state_pair:((35, 34), (17, 35)), next_state:(35, 34), n:35, dest:34, env.nlinks[n]:2, action:0
time:31, state_pair:((35, 34), (17, 35)), current_state:(17, 35), n:17, dest:35, env.nlinks[n]:3, action:2
time:31, state_pair:((23, 35), (23, 35)), next_state:(23, 35), n:17, dest:35, env.nlinks[n]:3, action:2
time:32, state_pair:((23, 35), (23, 35)), current_state:(23, 35), n:23, dest:35, env.nlinks[n]:3, action:2
time:32, state_pair:((29, 35), (1, 29)), next_state:(29, 35), n:23, dest:35, env.nlinks[n]:3, action:2
time:33, state_pair:((29, 35), (1, 29)), current_state:(1, 29), n:1, dest:29, env.nlinks[n]:3, action:1
time:33, state_pair:((2, 29), (9, 4)), next_state:(2, 29), n:1, dest:29, env.nlinks[n]:3, action:1
time:34, state_pair:((2, 29), (9, 4)), current_state:(9, 4), n:9, dest:4, env.nlinks[n]:3, action:0
time:34, state_pair:((3, 4), (29, 35)), next_state:(3, 4), n:9, dest:4, env.nlinks[n]:3, action:0
time:35, state_pair:((3, 4), (29, 35)), current_state:(29, 35), n:29, dest:35, env.nlinks[n]:2, action:1
time:35, state_pair:((29, 35), (3, 4)), next_state:(29, 35), n:29, dest:35, env.nlinks[n]:2, action:1
time:36, state_pair:((29, 35), (3, 4)), current_state:(3, 4), n:3, dest:4, env.nlinks[n]:2, action:0
time:36, state_pair:((3, 4), (0, 32)), next_state:(3, 4), n:3, dest:4, env.nlinks[n]:2, action:0
time:37, state_pair:((3, 4), (0, 32)), current_state:(0, 32), n:0, dest:32, env.nlinks[n]:2, action:1
time:37, state_pair:((6, 32), (2, 29)), next_state:(6, 32), n:0, dest:32, env.nlinks[n]:2, action:1
time:38, state_pair:((6, 32), (2, 29)), current_state:(2, 29), n:2, dest:29, env.nlinks[n]:2, action:1
time:38, state_pair:((8, 29), (8, 29)), next_state:(8, 29), n:2, dest:29, env.nlinks[n]:2, action:1
time:39, state_pair:((8, 29), (8, 29)), current_state:(8, 29), n:8, dest:29, env.nlinks[n]:3, action:2
time:39, state_pair:((14, 29), (14, 29)), next_state:(14, 29), n:8, dest:29, env.nlinks[n]:3, action:2
time:40, state_pair:((14, 29), (14, 29)), current_state:(14, 29), n:14, dest:29, env.nlinks[n]:3, action:2
time:40, state_pair:((20, 29), (20, 29)), next_state:(20, 29), n:14, dest:29, env.nlinks[n]:3, action:2
time:41, state_pair:((20, 29), (20, 29)), current_state:(20, 29), n:20, dest:29, env.nlinks[n]:4, action:2
time:41, state_pair:((21, 29), (21, 29)), next_state:(21, 29), n:20, dest:29, env.nlinks[n]:4, action:2
time:42, state_pair:((21, 29), (21, 29)), current_state:(21, 29), n:21, dest:29, env.nlinks[n]:4, action:2
time:42, state_pair:((22, 29), (22, 29)), next_state:(22, 29), n:21, dest:29, env.nlinks[n]:4, action:2
time:43, state_pair:((22, 29), (22, 29)), current_state:(22, 29), n:22, dest:29, env.nlinks[n]:4, action:2
time:43, state_pair:((23, 29), (23, 29)), next_state:(23, 29), n:22, dest:29, env.nlinks[n]:4, action:2
time:44, state_pair:((23, 29), (23, 29)), current_state:(23, 29), n:23, dest:29, env.nlinks[n]:3, action:2
time:44, state_pair:((23, 29), (6, 32)), next_state:(23, 29), n:23, dest:29, env.nlinks[n]:3, action:2
time:45, state_pair:((23, 29), (6, 32)), current_state:(6, 32), n:6, dest:32, env.nlinks[n]:3, action:2
time:45, state_pair:((12, 32), (23, 8)), next_state:(12, 32), n:6, dest:32, env.nlinks[n]:3, action:2
time:46, state_pair:((12, 32), (23, 8)), current_state:(23, 8), n:23, dest:8, env.nlinks[n]:3, action:0
time:46, state_pair:((22, 8), (12, 32)), next_state:(22, 8), n:23, dest:8, env.nlinks[n]:3, action:0
time:47, state_pair:((22, 8), (12, 32)), current_state:(12, 32), n:12, dest:32, env.nlinks[n]:3, action:2
time:47, state_pair:((18, 32), (22, 8)), next_state:(18, 32), n:12, dest:32, env.nlinks[n]:3, action:2
