q learning with callmean:0 time:61, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:62, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:63, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:64, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:65, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:66, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:67, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:68, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:69, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:70, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:71, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:72, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:73, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:74, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:75, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:76, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:77, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:78, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:79, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:80, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:81, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:82, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:83, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:84, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:85, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:86, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:87, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:88, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:89, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:90, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:91, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:92, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:93, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:94, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:95, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:96, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:97, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:98, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:99, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:100, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:101, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:102, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:103, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:104, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:105, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:106, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:107, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:108, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:109, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:110, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:111, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:112, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:113, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:114, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:115, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:116, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:117, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:118, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:119, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:120, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:121, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:122, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:123, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:124, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:125, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:126, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:127, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:128, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:129, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:130, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:131, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:132, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:133, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:134, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:135, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:136, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:137, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:138, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:139, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:140, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:141, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:142, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:143, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:144, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:145, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:146, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:147, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:148, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:149, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:150, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:151, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:152, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:153, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:154, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:155, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:156, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:157, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:158, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:159, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:160, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:161, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:162, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:163, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:164, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:165, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:166, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:167, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:168, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:169, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:170, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:171, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:172, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:173, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:174, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
q learning with callmean:0 time:175, average delivery time:1.0, length of average route:1.0, r_sum_best:0, Packet routed 1.0
